Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
3.115	1	0	0	11	0	-72.3059
3.115	1	0	0	12	0	-70.3322
3.115	1	0	0	13	0	-67.1333
3.115	1	0	0	14	0	-71.606
3.115	1	0	0	15	0	-55.6931
3.12	1	0	0	1	0	-76.8842
3.12	1	0	0	2	0	-62.6137
3.12	1	0	0	3	0	-71.5877
3.12	1	0	0	4	0	-70.3369
3.12	1	0	0	5	0	-61.927
3.12	1	0	0	6	0	-73.0854
3.12	1	0	0	7	0	-84.5998
3.12	1	0	0	8	0	-60.9151
3.12	1	0	0	9	0	-61.7209
3.12	1	0	0	10	0	-69.953
3.12	1	0	0	11	0	-72.3059
3.12	1	0	0	12	0	-70.3322
3.12	1	0	0	13	0	-67.1333
3.12	1	0	0	14	0	-71.606
3.12	1	0	0	15	0	-55.6931
3.125	1	0	0	1	0	-76.8842
3.125	1	0	0	2	0	-62.6137
3.125	1	0	0	3	0	-71.5877
3.125	1	0	0	4	0	-70.3369
3.125	1	0	0	5	0	-61.927
3.125	1	0	0	6	0	-73.0854
3.125	1	0	0	7	0	-84.5998
3.125	1	0	0	8	0	-60.9151
3.125	1	0	0	9	0	-61.7209
3.125	1	0	0	10	0	-69.953
3.125	1	0	0	11	0	-72.3059
3.125	1	0	0	12	0	-70.3322
3.125	1	0	0	13	0	-67.1333
3.125	1	0	0	14	0	-71.606
3.125	1	0	0	15	0	-55.6931
3.13	1	0	0	1	0	-76.8842
3.13	1	0	0	2	0	-62.6137
3.13	1	0	0	3	0	-71.5877
3.13	1	0	0	4	0	-70.3369
3.13	1	0	0	5	0	-61.927
3.13	1	0	0	6	0	-73.0854
3.13	1	0	0	7	0	-84.5998
3.13	1	0	0	8	0	-60.9151
3.13	1	0	0	9	0	-61.7209
3.13	1	0	0	10	0	-69.953
3.13	1	0	0	11	0	-72.3059
3.13	1	0	0	12	0	-70.3322
3.13	1	0	0	13	0	-67.1333
3.13	1	0	0	14	0	-71.606
3.13	1	0	0	15	0	-55.6931
3.135	1	0	0	1	0	-76.8842
3.135	1	0	0	2	0	-62.6137
3.135	1	0	0	3	0	-71.5877
3.135	1	0	0	4	0	-70.3369
3.135	1	0	0	5	0	-61.927
3.135	1	0	0	6	0	-73.0854
3.135	1	0	0	7	0	-84.5998
3.135	1	0	0	8	0	-60.9151
3.135	1	0	0	9	0	-61.7209
3.135	1	0	0	10	0	-69.953
3.135	1	0	0	11	0	-72.3059
3.135	1	0	0	12	0	-70.3322
3.135	1	0	0	13	0	-67.1333
3.135	1	0	0	14	0	-71.606
3.135	1	0	0	15	0	-55.6931
3.14	1	0	0	1	0	-76.8842
3.14	1	0	0	2	0	-62.6137
3.14	1	0	0	3	0	-71.5877
3.14	1	0	0	4	0	-70.3369
3.14	1	0	0	5	0	-61.927
3.14	1	0	0	6	0	-73.0854
3.14	1	0	0	7	0	-84.5998
3.14	1	0	0	8	0	-60.9151
3.14	1	0	0	9	0	-61.7209
3.14	1	0	0	10	0	-69.953
3.14	1	0	0	11	0	-72.3059
3.14	1	0	0	12	0	-70.3322
3.14	1	0	0	13	0	-67.1333
3.14	1	0	0	14	0	-71.606
3.14	1	0	0	15	0	-55.6931
3.145	1	0	0	1	0	-76.8842
3.145	1	0	0	2	0	-62.6137
3.145	1	0	0	3	0	-71.5877
3.145	1	0	0	4	0	-70.3369
3.145	1	0	0	5	0	-61.927
3.145	1	0	0	6	0	-73.0854
3.145	1	0	0	7	0	-84.5998
3.145	1	0	0	8	0	-60.9151
3.145	1	0	0	9	0	-61.7209
3.145	1	0	0	10	0	-69.953
3.145	1	0	0	11	0	-72.3059
3.145	1	0	0	12	0	-70.3322
3.145	1	0	0	13	0	-67.1333
3.145	1	0	0	14	0	-71.606
3.145	1	0	0	15	0	-55.6931
3.15	1	0	0	1	0	-76.8842
3.15	1	0	0	2	0	-62.6137
3.15	1	0	0	3	0	-71.5877
3.15	1	0	0	4	0	-70.3369
3.15	1	0	0	5	0	-61.927
3.15	1	0	0	6	0	-73.0854
3.15	1	0	0	7	0	-84.5998
3.15	1	0	0	8	0	-60.9151
3.15	1	0	0	9	0	-61.7209
3.15	1	0	0	10	0	-69.953
3.15	1	0	0	11	0	-72.3059
3.15	1	0	0	12	0	-70.3322
3.15	1	0	0	13	0	-67.1333
3.15	1	0	0	14	0	-71.606
3.15	1	0	0	15	0	-55.6931
3.155	1	0	0	1	0	-76.8842
3.155	1	0	0	2	0	-62.6137
3.155	1	0	0	3	0	-71.5877
3.155	1	0	0	4	0	-70.3369
3.155	1	0	0	5	0	-61.927
3.155	1	0	0	6	0	-73.0854
3.155	1	0	0	7	0	-84.5998
3.155	1	0	0	8	0	-60.9151
3.155	1	0	0	9	0	-61.7209
3.155	1	0	0	10	0	-69.953
3.155	1	0	0	11	0	-72.3059
3.155	1	0	0	12	0	-70.3322
3.155	1	0	0	13	0	-67.1333
3.155	1	0	0	14	0	-71.606
3.155	1	0	0	15	0	-55.6931
3.16	1	0	0	1	0	-76.8842
3.16	1	0	0	2	0	-62.6137
3.16	1	0	0	3	0	-71.5877
3.16	1	0	0	4	0	-70.3369
3.16	1	0	0	5	0	-61.927
3.16	1	0	0	6	0	-73.0854
3.16	1	0	0	7	0	-84.5998
3.16	1	0	0	8	0	-60.9151
3.16	1	0	0	9	0	-61.7209
3.16	1	0	0	10	0	-69.953
3.16	1	0	0	11	0	-72.3059
3.16	1	0	0	12	0	-70.3322
3.16	1	0	0	13	0	-67.1333
3.16	1	0	0	14	0	-71.606
3.16	1	0	0	15	0	-55.6931
3.165	1	0	0	1	0	-76.8842
3.165	1	0	0	2	0	-62.6137
3.165	1	0	0	3	0	-71.5877
3.165	1	0	0	4	0	-70.3369
3.165	1	0	0	5	0	-61.927
3.165	1	0	0	6	0	-73.0854
3.165	1	0	0	7	0	-84.5998
3.165	1	0	0	8	0	-60.9151
3.165	1	0	0	9	0	-61.7209
3.165	1	0	0	10	0	-69.953
3.165	1	0	0	11	0	-72.3059
3.165	1	0	0	12	0	-70.3322
3.165	1	0	0	13	0	-67.1333
3.165	1	0	0	14	0	-71.606
3.165	1	0	0	15	0	-55.6931
3.17	1	0	0	1	0	-76.8842
3.17	1	0	0	2	0	-62.6137
3.17	1	0	0	3	0	-71.5877
3.17	1	0	0	4	0	-70.3369
3.17	1	0	0	5	0	-61.927
3.17	1	0	0	6	0	-73.0854
3.17	1	0	0	7	0	-84.5998
3.17	1	0	0	8	0	-60.9151
3.17	1	0	0	9	0	-61.7209
3.17	1	0	0	10	0	-69.953
3.17	1	0	0	11	0	-72.3059
3.17	1	0	0	12	0	-70.3322
3.17	1	0	0	13	0	-67.1333
3.17	1	0	0	14	0	-71.606
3.17	1	0	0	15	0	-55.6931
3.175	1	0	0	1	0	-76.8842
3.175	1	0	0	2	0	-62.6137
3.175	1	0	0	3	0	-71.5877
3.175	1	0	0	4	0	-70.3369
3.175	1	0	0	5	0	-61.927
3.175	1	0	0	6	0	-73.0854
3.175	1	0	0	7	0	-84.5998
3.175	1	0	0	8	0	-60.9151
3.175	1	0	0	9	0	-61.7209
3.175	1	0	0	10	0	-69.953
3.175	1	0	0	11	0	-72.3059
3.175	1	0	0	12	0	-70.3322
3.175	1	0	0	13	0	-67.1333
3.175	1	0	0	14	0	-71.606
3.175	1	0	0	15	0	-55.6931
3.18	1	0	0	1	0	-76.8842
3.18	1	0	0	2	0	-62.6137
3.18	1	0	0	3	0	-71.5877
3.18	1	0	0	4	0	-70.3369
3.18	1	0	0	5	0	-61.927
3.18	1	0	0	6	0	-73.0854
3.18	1	0	0	7	0	-84.5998
3.18	1	0	0	8	0	-60.9151
3.18	1	0	0	9	0	-61.7209
3.18	1	0	0	10	0	-69.953
3.18	1	0	0	11	0	-72.3059
3.18	1	0	0	12	0	-70.3322
3.18	1	0	0	13	0	-67.1333
3.18	1	0	0	14	0	-71.606
3.18	1	0	0	15	0	-55.6931
3.185	1	0	0	1	0	-76.8842
3.185	1	0	0	2	0	-62.6137
3.185	1	0	0	3	0	-71.5877
3.185	1	0	0	4	0	-70.3369
3.185	1	0	0	5	0	-61.927
3.185	1	0	0	6	0	-73.0854
3.185	1	0	0	7	0	-84.5998
3.185	1	0	0	8	0	-60.9151
3.185	1	0	0	9	0	-61.7209
3.185	1	0	0	10	0	-69.953
3.185	1	0	0	11	0	-72.3059
3.185	1	0	0	12	0	-70.3322
3.185	1	0	0	13	0	-67.1333
3.185	1	0	0	14	0	-71.606
3.185	1	0	0	15	0	-55.6931
3.19	1	0	0	1	0	-76.8842
3.19	1	0	0	2	0	-62.6137
3.19	1	0	0	3	0	-71.5877
3.19	1	0	0	4	0	-70.3369
3.19	1	0	0	5	0	-61.927
3.19	1	0	0	6	0	-73.0854
3.19	1	0	0	7	0	-84.5998
3.19	1	0	0	8	0	-60.9151
3.19	1	0	0	9	0	-61.7209
3.19	1	0	0	10	0	-69.953
3.19	1	0	0	11	0	-72.3059
3.19	1	0	0	12	0	-70.3322
3.19	1	0	0	13	0	-67.1333
3.19	1	0	0	14	0	-71.606
3.19	1	0	0	15	0	-55.6931
3.195	1	0	0	1	0	-76.8842
3.195	1	0	0	2	0	-62.6137
3.195	1	0	0	3	0	-71.5877
3.195	1	0	0	4	0	-70.3369
3.195	1	0	0	5	0	-61.927
3.195	1	0	0	6	0	-73.0854
3.195	1	0	0	7	0	-84.5998
3.195	1	0	0	8	0	-60.9151
3.195	1	0	0	9	0	-61.7209
3.195	1	0	0	10	0	-69.953
3.195	1	0	0	11	0	-72.3059
3.195	1	0	0	12	0	-70.3322
3.195	1	0	0	13	0	-67.1333
3.195	1	0	0	14	0	-71.606
3.195	1	0	0	15	0	-55.6931
3.2	1	0	0	1	0	-76.8842
3.2	1	0	0	2	0	-62.6137
3.2	1	0	0	3	0	-71.5877
3.2	1	0	0	4	0	-70.3369
3.2	1	0	0	5	0	-61.927
3.2	1	0	0	6	0	-73.0854
